Case;Subcase;total_costs;carbon_costs;carbon_revenues;technology_cost;network_cost;import_cost;export_revenues;violation_cost;net_emissions;positive_emissions;negative_emissions;net_emissions_from_technologies;net_emissions_from_carriers;net_emissions_from_networks;time_total;lb;ub;absolute gap;objective;solver_status;pareto_point;monte_carlo_run;time_stage;normalized_costs;normalized_emissions;delta_cost;delta_emissions;abatemente_cost;curtailment_total;generic_production_total;import_el;export_h2;PowerPlant_Coal_existing;PowerPlant_Gas_existing;PowerPlant_Nuclear_existing;PowerPlant_Oil_existing;Storage_PumpedHydro_Closed_existing;Storage_PumpedHydro_Open_existing;Storage_PumpedHydro_Reservoir_existing;Storage_Battery_Offshore;Storage_Battery_new;Storage_Battery_Offshore_HP;Storage_Battery_new_HP;Electrolyser_PEM;Electrolyser_PEM_offshore;FuelCell;Storage_Hydrogen;electricityAC_existing;electricityDC_existing;hydrogenPipelineOffshore;hydrogenPipelineOnshore_new;hydrogenPipelineOnshore_re;electricityAC;electricityDC;PowerPlant_Nuclear_existing_size;Storage_PumpedHydro_Open_existing_size;PowerPlant_Coal_existing_size;PowerPlant_Gas_existing_size;Storage_PumpedHydro_Closed_existing_size;Storage_PumpedHydro_Reservoir_existing_size;PowerPlant_Oil_existing_size;Storage_Battery_Offshore_size;Storage_Battery_new_size;Storage_Battery_Offshore_HP_size;Storage_Battery_new_HP_size;Electrolyser_PEM_size;Electrolyser_PEM_offshore_size;FuelCell_size;Storage_Hydrogen_size;h2_emissions;total_emissions;electricity_emissions;hydrogen_costs_smr;total_costs_with_smr;electricity_costs;file
Storage;all;35983786517;3818785209;0;21834417760;133516137.1;10197067412;0;0;47734815.11;47734815.11;0;47734815.11;0;0;3929.242;35983786517;35983786517;0;costs_emissionlimit;optimal;0;0;0;1.977227749;0.9;17784675904;-38057642.92;-467.3089162;93.7092658;1013.311565;0;0;0.061439773;155.505278;51.99358429;0.026381;23.57925294;148.6361267;0.940279595;0;36.7737794;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;0;274.9124038;;;;;;;29478397.12;77213212.23;47734815.11;13300000000;49283786517;35983786517;20240327020539_Battery_all_minCost_at_0.9
Storage;all;36083661152;3818785209;0;21934799805;133516137.1;10196560001;0;0;47734815.11;47734815.11;0;47734815.11;0;0;7855.025;36083661152;36083661152;0;costs_emissionlimit;optimal;0;0;0;1.982715635;0.9;17884550538;-38057642.92;-469.9332152;93.60554703;1013.415283;0;0;0.064548742;155.49754;51.95796542;0.026381;23.63117354;148.6316436;0.940279595;;;0;36.72976946;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;0;274.8449255;;;;;29478397.12;77213212.23;47734815.11;13300000000;49383661152;36083661152;20240327030821_Battery_all_HP_minCost_at_0.9
Storage;all;91851633135;3132445544;0;80210148607;133516137.1;8375522846;0;0;39155569.3;39155569.3;0;39155569.3;0;0;4647.294;91851633135;91851633135;0;costs_emissionlimit;optimal;0;0;0;5.047039665;0.8;73652522521;-46636888.72;-1579.276065;64.83851925;1042.182311;0;0;0;127.7267234;50.52871337;0;18.97654595;148.1955627;0.940279595;0;75.64498021;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;0;1068.332557;;;;;;;29478397.12;68633966.42;39155569.3;13300000000;1.05E+11;91851633135;20240327001455_Battery_all_minCost_at_0.8
Storage;all;92162867265;3132445544;0;80521382738;133516137.1;8375522846;0;0;39155569.3;39155569.3;0;39155569.3;0;0;4941.179;92162867265;92162867265;0;costs_emissionlimit;optimal;0;0;0;5.064141277;0.8;73963756652;-46636888.72;-1585.949626;64.85230293;1042.168528;0;0;0;127.7267234;50.54815024;0;18.93731552;148.2019736;0.940279595;;;0;75.59894757;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;0;1068.245818;;;;;29478397.12;68633966.42;39155569.3;13300000000;1.05E+11;92162867265;20240327010541_Battery_all_HP_minCost_at_0.8
Storage;all;2.66E+11;2446105880;0;2.56E+11;133516137.1;6540390054;0;0;30576323.5;30576323.5;0;30576323.5;0;0;3468.915;2.66E+11;2.66E+11;0;costs_emissionlimit;optimal;0;0;0;14.59478934;0.7;2.47E+11;-55216134.53;-4480.811179;38.40935594;1068.611475;0;0;0;99.74094832;51.40318076;0;12.52344745;147.3052537;0.940279595;0;116.3711918;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;0;3458.771192;;;;;;;29478397.12;60054720.62;30576323.5;13300000000;2.79E+11;2.66E+11;20240326224423_Battery_all_minCost_at_0.7
Storage;all;2.66E+11;2446105880;0;2.57E+11;133516137.1;6540390054;0;0;30576323.5;30576323.5;0;30576323.5;0;0;4638.604;2.66E+11;2.66E+11;0;costs_emissionlimit;optimal;0;0;0;14.635071;0.7;2.48E+11;-55216134.53;-4494.08792;38.17399208;1068.846838;0;0;0;99.74094832;51.21147202;0;12.43249944;147.3187804;0.940279595;;;0;116.5458969;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;;0;3459.248694;;;;;29478397.12;60054720.62;30576323.5;13300000000;2.80E+11;2.66E+11;20240326230757_Battery_all_HP_minCost_at_0.7
Storage;offshore only;18944679751;4436490906;0;2715418782;133516137.1;11659253925;0;0;55456136.33;55456136.33;0;55428089.25;28047.07485;0;5784.79;18944679751;18944679751;0;costs_emissionlimit;optimal;0;0;0;1.040967339;0.99;745569137.7;-30336321.7;-24.57678086;115.7284444;991.2923861;0.035058844;0;1.27513945;177.268975;51.22684779;0.177568697;27.39442852;149.0126707;0.940279595;3.340384364;;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;11.26793756;;;;;;;;29478397.12;84934533.45;55456136.33;13300000000;32244679751;18944679751;20240327071338_Battery_off_minCost_at_0.99
Storage;offshore only;20078014846;4367856940;0;4058998038;133516137.1;11517643730;0;0;54598211.75;54598211.75;0;54592013.45;6198.304246;0;8732.824;20078014846;20078014846;0;costs_emissionlimit;optimal;0;0;0;1.103241541;0.98;1878904233;-31194246.28;-60.23239776;113.7407985;993.2800321;0.00774788;0;0.916715907;175.5259117;51.40066555;0.132798904;26.9815398;148.9889439;0.940279595;6.753523941;;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;26.7746386;;;;;;;;29478397.12;84076608.87;54598211.75;13300000000;33378014846;20078014846;20240327040924_Battery_off_minCost_at_0.98
Storage;offshore only;25675798769;4161955041;0;10316951542;133516137.1;11063376049;0;0;52024438.01;52024438.01;0;52024438.01;0;0;5198.87;25675798769;25675798769;0;costs_emissionlimit;optimal;0;0;0;1.410827118;0.95;7476688156;-33768020.02;-221.4132826;106.7235089;1000.297322;0;0;0.333353546;168.7164847;51.81594923;0.077347423;25.48961499;148.8351281;0.940279595;17.86815256;;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;97.98409012;;;;;;;;29478397.12;81502835.13;52024438.01;13300000000;38975798769;25675798769;20240327020441_Battery_off_minCost_at_0.95
Storage;offshore only;42476658141;3818785209;0;28327565992;133516137.1;10196790804;0;0;47734815.11;47734815.11;0;47734815.11;0;0;4291.53;42476658141;42476658141;0;costs_emissionlimit;optimal;0;0;0;2.333996372;0.9;24277547528;-38057642.92;-637.9151627;93.30228317;1013.718547;0;0;0.063134583;155.5010598;52.15705021;0.026381;23.77005577;148.6764218;0.940279595;36.36393822;;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;301.8862258;;;;;;;;29478397.12;77213212.23;47734815.11;13300000000;55776658141;42476658141;20240327002108_Battery_off_minCost_at_0.9
Storage;offshore only;1.18E+11;3132445544;0;1.06E+11;133516137.1;8375522846;0;0;39155569.3;39155569.3;0;39155569.3;0;0;4396.836;1.18E+11;1.18E+11;0;costs_emissionlimit;optimal;0;0;0;6.465412559;0.8;99465647717;-46636888.72;-2132.767641;63.9672165;1043.053614;0;0;0;127.7267234;50.60532285;0;19.01502194;148.2426714;0.940279595;75.88130113;;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;1180.372712;;;;;;;;29478397.12;68633966.42;39155569.3;13300000000;1.31E+11;1.18E+11;20240326223323_Battery_off_minCost_at_0.8
Storage;onshore only;18744330518;4436490906;0;2514010670;133516137.1;11660312804;0;0;55456136.33;55456136.33;0;55427485.67;28650.65952;0;7390.816;18744330518;18744330518;0;costs_emissionlimit;optimal;0;0;0;1.029958602;0.99;545219904.9;-30336321.7;-17.9725118;115.7035168;991.3173138;0.035813324;0;1.272113199;177.2736171;51.21642618;0.178016213;27.50200676;149.0259973;0.940279595;;3.2997616;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;10.79035538;;;;;;;29478397.12;84934533.45;55456136.33;13300000000;32044330518;18744330518;20240327102137_Battery_on_minCost_at_0.99
Storage;onshore only;19533345347;4367856940;0;3511623274;133516137.1;11520348996;0;0;54598211.75;54598211.75;0;54590427.64;7784.108741;0;5435.108;19533345347;19533345347;0;costs_emissionlimit;optimal;0;0;0;1.073313183;0.98;1334234734;-31194246.28;-42.77182189;113.7000737;993.3207568;0.009730136;0;0.909670977;175.5369376;51.34933353;0.133447724;27.0652085;148.9621643;0.940279595;;6.713028474;;;;;;;42811.90277;19979.23095;;;;;;11.891;89994.178;17.042;89.482;662.01;258.578;0.851;;24.7176941;;;;;;;29478397.12;84076608.87;54598211.75;13300000000;32833345347;19533345347;20240327081421_Battery_on_minCost_at_0.98
